ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-25T23:02:56.802236763Z,2026-01-25T23:02:56.801241971Z,1,1,7311,T,A,0,52250.000000000,3,0,13403,337372,52255.000000000,52320.000000000,2,2,2,2,NIYH6
2026-01-25T23:02:56.802682779Z,2026-01-25T23:02:56.802279073Z,1,1,7311,T,A,0,52245.000000000,2,0,13012,337386,52245.000000000,52250.000000000,2,45,2,1,NIYH6
2026-01-25T23:02:56.803351135Z,2026-01-25T23:02:56.803075759Z,1,1,7311,T,A,0,52240.000000000,1,0,12585,337450,52240.000000000,52245.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:56.803771585Z,2026-01-25T23:02:56.803377263Z,1,1,7311,T,A,0,52240.000000000,1,0,13220,337468,52240.000000000,52245.000000000,1,5,1,3,NIYH6
2026-01-25T23:02:56.803855745Z,2026-01-25T23:02:56.803599281Z,1,1,7311,T,A,0,52240.000000000,1,0,13782,337469,52240.000000000,52245.000000000,1,5,1,3,NIYH6
2026-01-25T23:02:56.804018077Z,2026-01-25T23:02:56.803808975Z,1,1,7311,T,A,0,52240.000000000,1,0,12813,337470,52240.000000000,52245.000000000,1,5,1,3,NIYH6
2026-01-25T23:02:56.815817404Z,2026-01-25T23:02:56.815587109Z,1,1,7311,T,A,0,52240.000000000,1,0,13057,337487,52240.000000000,52245.000000000,1,4,1,2,NIYH6
2026-01-25T23:02:56.836072407Z,2026-01-25T23:02:56.835825075Z,1,1,7311,T,B,0,52245.000000000,1,0,14229,337495,52240.000000000,52245.000000000,1,4,1,2,NIYH6
2026-01-25T23:02:56.911019464Z,2026-01-25T23:02:56.910785965Z,1,1,7311,T,B,0,52245.000000000,2,0,13235,337908,52240.000000000,52245.000000000,1,3,1,1,NIYH6
2026-01-25T23:03:00.813893064Z,2026-01-25T23:03:00.813648847Z,1,1,7311,T,B,0,52245.000000000,1,0,12884,341455,52230.000000000,52245.000000000,1,3,1,2,NIYH6
2026-01-25T23:03:00.813914267Z,2026-01-25T23:03:00.813657335Z,1,1,7311,T,B,0,52245.000000000,1,0,13159,341456,52230.000000000,52245.000000000,1,2,1,1,NIYH6
2026-01-25T23:03:04.018185682Z,2026-01-25T23:03:04.017957253Z,1,1,7311,T,A,0,52225.000000000,1,0,16843,344434,52225.000000000,52245.000000000,1,1,1,1,NIYH6
2026-01-25T23:03:04.179123582Z,2026-01-25T23:03:04.178834161Z,1,1,7311,T,A,0,52210.000000000,1,0,13333,344512,52210.000000000,52245.000000000,4,1,3,1,NIYH6
2026-01-25T23:03:07.484121213Z,2026-01-25T23:03:07.483891723Z,1,1,7311,T,B,0,52245.000000000,1,0,12612,349389,52210.000000000,52245.000000000,2,2,2,2,NIYH6
2026-01-25T23:03:15.357341153Z,2026-01-25T23:03:15.357081309Z,1,1,7311,T,B,0,52245.000000000,1,0,19955,354799,52230.000000000,52245.000000000,1,2,1,1,NIYH6
